date,county,state,sid
*,*,*,0
2021-01-10,*,*,1
2021-01-11,*,*,2
2021-01-12,*,*,3
2021-01-13,*,*,4
2021-01-14,*,*,5
2021-01-15,*,*,6
2021-01-16,*,*,7
2021-01-17,*,*,8
2021-01-18,*,*,9
2021-01-19,*,*,10
2021-01-20,*,*,11
2021-01-21,*,*,12
2021-01-22,*,*,13
2021-01-23,*,*,14
2021-01-24,*,*,15
2021-01-25,*,*,16
2021-01-26,*,*,17
2021-01-27,*,*,18
2021-01-28,*,*,19
2021-01-29,*,*,20
2021-01-30,*,*,21
2021-01-31,*,*,22
2021-02-01,*,*,23
2021-02-02,*,*,24
2021-02-03,*,*,25
2021-02-04,*,*,26
2021-02-05,*,*,27
2021-02-06,*,*,28
2021-02-07,*,*,29
2021-02-08,*,*,30
2021-02-09,*,*,31
2021-02-10,*,*,32
*,Autauga,*,33
*,Baldwin,*,34
*,Barbour,*,35
*,Bibb,*,36
*,Blount,*,37
*,Bullock,*,38
*,Butler,*,39
*,Calhoun,*,40
*,Chambers,*,41
*,Cherokee,*,42
*,Chilton,*,43
*,Choctaw,*,44
*,Clarke,*,45
*,Clay,*,46
*,Cleburne,*,47
*,Coffee,*,48
*,Colbert,*,49
*,Conecuh,*,50
*,Coosa,*,51
*,Covington,*,52
*,Crenshaw,*,53
*,Cullman,*,54
*,Dale,*,55
*,Dallas,*,56
*,DeKalb,*,57
*,Elmore,*,58
*,Escambia,*,59
*,Etowah,*,60
*,Fayette,*,61
*,Franklin,*,62
*,Geneva,*,63
*,Greene,*,64
*,Hale,*,65
*,Henry,*,66
*,Houston,*,67
*,Jackson,*,68
*,Jefferson,*,69
*,Lamar,*,70
*,Lauderdale,*,71
*,Lawrence,*,72
*,Lee,*,73
*,Limestone,*,74
*,Lowndes,*,75
*,Macon,*,76
*,Madison,*,77
*,Marengo,*,78
*,Marion,*,79
*,Marshall,*,80
*,Mobile,*,81
*,Monroe,*,82
*,Montgomery,*,83
*,Morgan,*,84
*,Perry,*,85
*,Pickens,*,86
*,Pike,*,87
*,Randolph,*,88
*,Russell,*,89
*,Shelby,*,90
*,St. Clair,*,91
*,Sumter,*,92
*,Talladega,*,93
*,Tallapoosa,*,94
*,Tuscaloosa,*,95
*,Walker,*,96
*,Washington,*,97
*,Wilcox,*,98
*,Winston,*,99
*,Kent,*,100
*,New Castle,*,101
*,Sussex,*,102
*,Unknown,*,103
*,Alachua,*,104
*,Baker,*,105
*,Bay,*,106
*,Bradford,*,107
*,Brevard,*,108
*,Broward,*,109
*,Charlotte,*,110
*,Citrus,*,111
*,Collier,*,112
*,Columbia,*,113
*,DeSoto,*,114
*,Dixie,*,115
*,Duval,*,116
*,Flagler,*,117
*,Gadsden,*,118
*,Gilchrist,*,119
*,Glades,*,120
*,Gulf,*,121
*,Hamilton,*,122
*,Hardee,*,123
*,Hendry,*,124
*,Hernando,*,125
*,Highlands,*,126
*,Hillsborough,*,127
*,Holmes,*,128
*,Indian River,*,129
*,Lafayette,*,130
*,Lake,*,131
*,Leon,*,132
*,Levy,*,133
*,Liberty,*,134
*,Manatee,*,135
*,Martin,*,136
*,Miami-Dade,*,137
*,Nassau,*,138
*,Okaloosa,*,139
*,Okeechobee,*,140
*,Orange,*,141
*,Osceola,*,142
*,Palm Beach,*,143
*,Pasco,*,144
*,Pinellas,*,145
*,Polk,*,146
*,Putnam,*,147
*,Santa Rosa,*,148
*,Sarasota,*,149
*,Seminole,*,150
*,St. Johns,*,151
*,St. Lucie,*,152
*,Suwannee,*,153
*,Taylor,*,154
*,Union,*,155
*,Volusia,*,156
*,Wakulla,*,157
*,Walton,*,158
*,Appling,*,159
*,Atkinson,*,160
*,Bacon,*,161
*,Banks,*,162
*,Barrow,*,163
*,Bartow,*,164
*,Ben Hill,*,165
*,Berrien,*,166
*,Bleckley,*,167
*,Brantley,*,168
*,Brooks,*,169
*,Bryan,*,170
*,Bulloch,*,171
*,Burke,*,172
*,Butts,*,173
*,Camden,*,174
*,Candler,*,175
*,Carroll,*,176
*,Catoosa,*,177
*,Charlton,*,178
*,Chatham,*,179
*,Chattahoochee,*,180
*,Chattooga,*,181
*,Clayton,*,182
*,Clinch,*,183
*,Cobb,*,184
*,Colquitt,*,185
*,Cook,*,186
*,Coweta,*,187
*,Crawford,*,188
*,Crisp,*,189
*,Dade,*,190
*,Dawson,*,191
*,Decatur,*,192
*,Dodge,*,193
*,Dooly,*,194
*,Dougherty,*,195
*,Douglas,*,196
*,Early,*,197
*,Echols,*,198
*,Effingham,*,199
*,Elbert,*,200
*,Emanuel,*,201
*,Evans,*,202
*,Fannin,*,203
*,Floyd,*,204
*,Forsyth,*,205
*,Fulton,*,206
*,Gilmer,*,207
*,Glascock,*,208
*,Glynn,*,209
*,Gordon,*,210
*,Grady,*,211
*,Gwinnett,*,212
*,Habersham,*,213
*,Hall,*,214
*,Hancock,*,215
*,Haralson,*,216
*,Harris,*,217
*,Hart,*,218
*,Heard,*,219
*,Irwin,*,220
*,Jasper,*,221
